label,data_cpu_usage,ml_cpu_usage
containerized-2024-08-01 00:21:34.446395,81.1,64.51410256410257
containerized-2024-08-04 12:54:30.891168,83.40909090909089,72.21007462686566
containerized-2024-08-04 12:54:31.821164,69.79444444444445,73.23954545454544
containerized-2024-08-04 13:04:49.018916,80.95599999999999,66.3375
containerized-2024-08-04 13:15:03.063754,76.07499999999999,73.25833333333333
containerized-2024-08-04 13:27:03.129669,83.25652173913043,67.46925675675676
containerized-2024-08-04 13:28:53.679510,84.99565217391304,63.99266055045872
containerized-2024-08-04 13:35:32.889334,75.36666666666667,68.90680851063831
containerized-2024-08-04 13:35:33.412112,79.78235294117647,68.74499999999998
containerized-2024-08-04 13:42:35.148590,69.26666666666667,76.29471153846154
containerized-2024-08-04 13:50:11.565866,87.61304347826085,67.30066666666667
containerized-2024-08-04 13:58:44.842938,82.78695652173913,67.80510204081632
containerized-2024-08-04 14:06:46.810678,85.04761904761904,72.87162162162161
containerized-2024-08-04 15:06:42.008161,79.208,64.37027863777091
containerized-2024-08-04 15:08:21.146540,85.67826086956522,64.70689655172414
containerized-2024-08-04 15:14:07.291736,78.54166666666667,68.99653979238754
containerized-2024-08-04 15:14:10.108588,84.56086956521739,66.8451827242525
containerized-2024-08-04 15:23:06.273027,81.45652173913044,66.60066225165565
containerized-2024-08-04 15:23:11.264090,84.5391304347826,63.67885196374624
containerized-2024-08-04 15:30:35.365645,86.12272727272727,68.29389830508475
containerized-2024-08-04 18:05:41.792867,86.5909090909091,68.19044368600683
containerized-2024-08-04 18:06:20.658077,82.80869565217391,64.65555555555557
containerized-2024-08-04 18:13:22.136448,79.276,66.62179487179489
containerized-2024-08-04 18:47:14.776950,75.34444444444445,79.63471502590671
containerized-2024-08-04 18:48:38.358428,73.35294117647058,73.54045454545452
containerized-2024-08-04 18:54:47.112424,83.55217391304349,69.47104377104378
containerized-2024-08-04 19:01:05.206277,90.03809523809524,71.45675675675676
containerized-2024-08-04 19:02:07.719775,84.48260869565217,66.84900662251655
containerized-2024-08-04 19:07:33.098536,86.2695652173913,79.72451923076923
containerized-2024-08-04 19:11:36.340579,85.17083333333333,67.76833976833977
containerized-2024-08-04 19:20:03.694658,89.3125,69.34631578947369
containerized-2024-08-04 19:20:04.131978,86.94,69.44895104895105
containerized-2024-08-04 19:26:31.272582,85.99047619047619,74.06754385964913
containerized-2024-08-05 19:25:17.496502,81.38333333333333,66.25064102564103
containerized-2024-08-05 19:25:23.534696,84.93478260869567,65.73927492447132
containerized-2024-08-05 19:33:04.461278,82.98260869565217,63.1070987654321
containerized-2024-08-05 19:47:49.593119,81.04166666666667,63.960457516339865
containerized-2024-08-05 19:48:10.877899,88.87826086956522,61.56891495601175
containerized-2024-08-05 19:56:38.496700,82.36521739130433,61.97262872628728
containerized-2024-08-05 20:44:22.752941,79.19375,77.14191919191917
containerized-2024-08-05 20:45:15.968852,82.24583333333334,62.74229607250757
containerized-2024-08-05 20:51:54.532322,85.5,68.75050847457628
containerized-2024-08-05 20:58:18.393628,84.02857142857142,71.88777292576421
containerized-2024-08-05 20:59:26.650584,78.52499999999999,67.86488294314381
containerized-2024-08-05 21:05:18.885505,71.58823529411764,77.92985074626866
containerized-2024-08-05 21:09:55.030970,84.52608695652174,67.42923588039868
containerized-2024-08-05 21:18:52.567277,85.98695652173912,69.61519434628974
containerized-2024-08-05 21:19:14.094844,81.54347826086955,66.06948051948054
containerized-2024-08-05 21:26:18.290167,82.8304347826087,71.59205776173285
containerized-2024-08-05 21:35:54.573385,84.71249999999999,64.71210191082804
containerized-2024-08-05 21:36:12.182741,89.31304347826087,59.20819209039549
containerized-2024-08-05 21:41:57.294302,83.28823529411764,77.24949999999998
containerized-2024-08-05 21:48:37.660963,84.92399999999999,70.86831275720166
containerized-2024-08-05 21:48:57.126351,85.98095238095236,67.88656126482213
containerized-2024-08-05 21:56:09.845885,87.01363636363637,66.8112582781457
containerized-2024-08-05 22:01:29.280178,84.12608695652175,68.34271844660195
containerized-2024-08-05 22:01:35.460755,85.70869565217392,64.47241379310346
containerized-2024-08-05 22:10:29.411417,86.15454545454544,69.86527196652719
containerized-2024-08-05 22:11:09.301000,81.15333333333332,71.49551569506723
containerized-2024-08-05 22:18:10.403138,83.4875,64.08800000000001
containerized-2024-08-05 22:50:50.750167,79.62380952380953,66.60281124497992
containerized-2024-08-05 22:51:15.700492,87.00000000000001,64.50509554140127
containerized-2024-08-05 22:57:54.336085,82.41153846153847,59.15100000000001
containerized-2024-08-06 08:04:20.954081,81.05833333333332,76.46822429906541
containerized-2024-08-06 08:05:37.888279,79.77499999999999,66.14240506329114
containerized-2024-08-06 08:12:11.780243,84.5391304347826,67.57871621621622
