label,data_cpu_usage,ml_cpu_usage
local-2024-07-31 22:26:08.665528,81.03999999999999,70.6438596491228
local-2024-07-31 22:42:02.539665,82.32000000000001,71.99734513274336
local-2024-07-31 22:48:05.747672,85.88000000000001,68.55
local-2024-07-31 22:50:59.576195,82.46000000000001,68.33250000000001
local-2024-08-01 00:17:06.706333,73.78333333333335,72.08230088495576
local-2024-08-04 12:44:39.746556,70.21666666666667,71.14249999999998
local-2024-08-04 12:51:42.186836,67.43333333333332,71.81052631578947
local-2024-08-04 12:54:51.599180,79.52000000000001,70.78947368421052
local-2024-08-04 12:59:32.535018,81.44,68.80084745762711
local-2024-08-04 13:01:58.676115,79.38,71.60796460176992
local-2024-08-04 13:07:17.040642,80.42,68.45126050420168
local-2024-08-04 13:11:22.682554,79.58000000000001,72.34234234234235
local-2024-08-04 13:22:27.724467,80.47999999999999,71.85175438596491
local-2024-08-04 13:27:33.420339,80.44,71.58608695652174
local-2024-08-04 13:32:27.123595,79.67999999999999,70.24086956521738
local-2024-08-04 13:35:47.579101,80.24,74.63545454545454
local-2024-08-04 13:38:25.545655,80.03999999999999,74.59724770642202
local-2024-08-04 13:44:12.499787,82.20000000000002,72.21061946902654
local-2024-08-04 13:52:05.688898,81.84,69.82413793103449
local-2024-08-04 13:58:39.789066,79.52000000000001,72.93243243243244
local-2024-08-05 19:19:57.315054,80.49999999999999,72.83423423423423
local-2024-08-05 19:25:55.259247,80.46000000000001,73.71249999999999
local-2024-08-05 19:42:06.601545,80.2,70.17565217391304
local-2024-08-05 19:45:21.320483,81.34,69.78620689655172
local-2024-08-05 20:39:32.910674,80.11999999999999,70.16724137931034
local-2024-08-05 20:42:06.693168,80.46000000000001,70.77543859649123
local-2024-08-05 20:45:54.300711,79.96000000000001,73.24090909090908
local-2024-08-05 20:54:25.631938,80.4,71.91785714285714
local-2024-08-05 20:56:51.129751,78.8,74.48055555555555
local-2024-08-05 20:59:35.999936,74.46000000000001,69.82956521739132
local-2024-08-05 21:02:51.586310,80.0,69.16068376068375
local-2024-08-05 21:09:53.620806,80.03999999999999,72.10803571428572
local-2024-08-05 21:13:54.076335,80.78,70.21565217391304
local-2024-08-05 21:18:11.427115,80.94000000000001,70.56052631578947
local-2024-08-05 21:27:12.241266,79.72,72.75585585585587
local-2024-08-05 21:30:25.999360,81.13999999999999,68.64444444444445
local-2024-08-05 21:44:22.793097,79.94,71.35789473684211
local-2024-08-05 21:46:43.569855,81.34,66.57355371900827
local-2024-08-05 21:49:30.827256,81.92,70.4
local-2024-08-05 21:51:57.362510,81.35999999999999,72.96396396396396
local-2024-08-05 21:56:13.578460,78.78,66.60081967213115
local-2024-08-05 21:58:35.027443,79.78,69.68434782608696
local-2024-08-05 22:01:05.576944,82.7,72.60707964601771
local-2024-08-05 22:03:35.116622,77.76,72.22702702702703
local-2024-08-05 22:10:43.441673,80.54,70.33418803418802
local-2024-08-05 22:13:52.383239,79.78,70.02288135593221
local-2024-08-05 22:16:58.053000,78.94000000000001,70.34608695652175
local-2024-08-06 08:00:19.737902,81.42,71.34910714285714
local-2024-08-07 21:15:02.070623,81.52000000000001,68.38333333333334
local-2024-08-07 23:08:02.160100,80.28,66.69752066115703
